2024-06-30 23:21:23,774 [INFO   ] No DB found at data_collection_analysis_tutorial.db, creating a new DB!
2024-06-30 23:21:23,848 [INFO   ] Received msg [setup]
2024-06-30 23:21:23,877 [INFO   ] Received msg [ask]
2024-06-30 23:30:01,709 [INFO   ] Found DB at /Users/fangfang/Aguirre-Brainard Lab Dropbox/Fangfang Hong/META_analysis/customized_configs/data_collection_analysis_tutorial.db, appending!
2024-06-30 23:30:01,746 [INFO   ] Received msg [setup]
2024-06-30 23:30:01,769 [INFO   ] Received msg [ask]
2024-06-30 23:30:55,214 [INFO   ] Found DB at /Users/fangfang/Aguirre-Brainard Lab Dropbox/Fangfang Hong/META_analysis/customized_configs/data_collection_analysis_tutorial.db, appending!
2024-06-30 23:30:55,252 [INFO   ] Received msg [setup]
2024-06-30 23:30:55,275 [INFO   ] Received msg [ask]
2024-06-30 23:30:55,310 [INFO   ] Received msg [tell]
2024-06-30 23:31:05,828 [INFO   ] Found DB at /Users/fangfang/Aguirre-Brainard Lab Dropbox/Fangfang Hong/META_analysis/customized_configs/data_collection_analysis_tutorial.db, appending!
2024-06-30 23:31:05,867 [INFO   ] Received msg [setup]
2024-06-30 23:31:05,889 [INFO   ] Received msg [ask]
2024-06-30 23:31:05,917 [INFO   ] Received msg [tell]
2024-06-30 23:46:12,692 [INFO   ] Found DB at /Users/fangfang/Aguirre-Brainard Lab Dropbox/Fangfang Hong/META_analysis/customized_configs/data_collection_analysis_tutorial.db, appending!
2024-06-30 23:46:12,741 [INFO   ] Received msg [setup]
2024-06-30 23:46:12,770 [INFO   ] Received msg [ask]
2024-06-30 23:46:12,827 [INFO   ] Received msg [tell]
2024-06-30 23:46:12,891 [INFO   ] Received msg [ask]
2024-06-30 23:46:12,960 [INFO   ] Received msg [tell]
2024-06-30 23:46:13,005 [INFO   ] Received msg [ask]
2024-06-30 23:46:13,130 [INFO   ] Received msg [tell]
2024-06-30 23:46:13,184 [INFO   ] Received msg [ask]
2024-06-30 23:46:13,279 [INFO   ] Received msg [tell]
2024-06-30 23:46:13,328 [INFO   ] Received msg [ask]
2024-06-30 23:46:13,438 [INFO   ] Received msg [tell]
2024-06-30 23:46:13,475 [INFO   ] Received msg [ask]
2024-06-30 23:46:13,597 [INFO   ] Received msg [tell]
2024-06-30 23:46:13,632 [INFO   ] Received msg [ask]
2024-06-30 23:46:13,732 [INFO   ] Received msg [tell]
2024-06-30 23:46:13,830 [INFO   ] Received msg [ask]
2024-06-30 23:46:13,920 [INFO   ] Received msg [tell]
2024-06-30 23:46:13,967 [INFO   ] Received msg [ask]
2024-06-30 23:46:14,104 [INFO   ] Received msg [tell]
2024-06-30 23:46:14,160 [INFO   ] Received msg [ask]
2024-06-30 23:46:14,288 [INFO   ] Received msg [tell]
2024-06-30 23:46:14,367 [INFO   ] Received msg [ask]
2024-06-30 23:46:14,462 [INFO   ] Received msg [tell]
2024-06-30 23:46:14,511 [INFO   ] Received msg [ask]
2024-06-30 23:46:14,577 [INFO   ] Received msg [tell]
2024-06-30 23:46:14,616 [INFO   ] Received msg [ask]
